Id;Nom;Email;NumTele
1;Sara El Mendili;sara@gmail.com;0676002415
2;Amine Benkirane;amine@gmail.com;0676003416
3;Yasmine Lahlou;yasmine@gmail.com;0676004417
4;Khalid Moulay;khalid@gmail.com;0676005418
5;Leila Bouzid;leila@gmail.com;0676006419
6;Omar Joundy;omar@gmail.com;0676007420
7;Fatima Zahra Idrissi;fatima@gmail.com;0676008421
8;Rachid Aboulfadl;rachid@gmail.com;0676009422
9;Nour El Malki;nour@gmail.com;0676010423
10;Karim Alaoui;karim@gmail.com;0676011424
11;Souad Khattabi;souad@gmail.com;0676012425
12;Mohamed Berrada;mohamed@gmail.com;0676013426
13;Zineb Ait Hamou;zineb@gmail.com;0676014427
14;Hicham Fassi;hicham@gmail.com;0676015428
15;Amina Oukacha;amina@gmail.com;0676016429
